,,,content,man_written
News 1st,3/30/2021 12:04,Received,nidos kota nidahas kirimata colombo pradana mahesthrathwarayagen niyoga.(2/2),නිදොස් කොට නිදහස් කිරීමට කොළඹ ප්‍රධාන මහේස්ත්‍රාත් වරයාගේ නියෝග
News 1st,3/30/2021 10:58,Received,Colomba nagarika seemawe ratha wahana thada badayata wisadumak lesa kanu matha dumriya marga 4k idikirimata cabinet anumethiya.,කොළඹ නාගරික සීමාවේ රථ වාහන තදබදයට විසඳුමක් ලෙස කණු මත දුම්රිය මාර්ග 4ක් ඉදිකිරීමට ඉදි කිරීමට කැබිනට් අනුමැතිය
Hiru News,3/30/2021 10:08,Received,"(2/2) Weliamuna para, Balagala, Galahaduwa, Maradana para, Elakanda ha Hendala pare kotasakata jalaya ath-hituwai.: NWS&DB","වෙල් මුණ පාර,පාර බල්ගල ,ගලහා වඩුව, මරදාන පහර ,ඇල්ලකන්ද හා හින්දල පාරේ කොටසකට ජලය අත්හිටුවයි.:NWS&DB"
Hiru News,3/30/2021 10:07,Received,"Heta 10pm sita peya 18k Wanawasala, Oliyamulla, Ewariwatta para, Wattala Meegamu para, Thelagapatha, Meegahawatta, Hekitta, Palliyawatta, (1/2)","හෙට 10 pm  සිට පැය 18 වන වණවාසළ ,ඔලියමුල්ල ,ඇවරියවත්ත පාර, වත්තල, මීගමු පාර, තෙල් ගව පත්ත පාර, මීගමුවට, හකිට්ට ට"
Hiru News,3/30/2021 10:06,Received,"Wisha pol-thel anayanaya kala bawa kiyana samagamakata ayath, Pol-thel 55,000L athulath bowser 02k Dankotuwedi police baarayata","විශ්ව පොල්-තෙල් ආනයනය කළ බව කියන සමාගමකට අයත්,පොල් තෙල් 55,000L ඊට ඇතුළත් bousar 02ක් දංකොටුවේ දී පොලිස් භාරයට"
Ada Derana,3/30/2021 9:33,Received,"UPDATE: Wanawasala, Oliyamulla, Ewariwatte paara, Balagala, Thelangapatha, Meegaswaththa, Hekiththa(1/2)","update වණවාසළ ඔලියමුල්ල, ඇවරියවත්ත පාර, බලගල, තලන්ගාත, මේගස්වත්‍ත ,හෙකිත්ත"
Ada Derana,3/30/2021 9:33,Received,"(2/2)Palliyawaththa, Elakanda pradeshawala heta 10pm sita peya 18 k jalaya athhituwai","පලියවත්ත , එලකන්ඩ  ප්‍රදේශ වන හෙට  10 සිට පැය  18ක් ජලය අත්හිටුවයි"
Ada Derana,3/30/2021 9:18,Received,"(2/2)Palliyawaththa, Elakanda pradeshawala heta 10am sita peya 18 k jalaya athhituwai","පලියවත්ත , එලකන්ඩ  ප්‍රදේශ වන හෙට  10 සිට පැය  18ක් ජලය අත්හිටුවයි"
Ada Derana,3/30/2021 9:17,Received,"Wanawasala, Oliyamulla, Ewariwatte paara, Balagala, Thelangapatha, Meegaswaththa, Hekiththa(1/2)","වණවාසළ, ඔලියමුල්ල, ඇවරියවත්ත පාර, බලගල, තලන්ගාත, මේගස්වත්‍ත, හෙකිත්ත"
Hiru News,3/30/2021 8:43,Received,COVID-19 asadithayin haduna gatha haki pahasu rudira pareekshana kramawedayak; (1/2),Covid 19 ආසාදිතයින් හඳුනාගත හැකි පහසු රුධිර පරීක්ෂණ ක්‍රමවේදයක්;
Hiru News,3/30/2021 8:43,Received,(2/2) Merata mahacharyawariyaka wana Neelika Malavige-da athulath Oxford sarasawiye wisheshagngna kandayamak wisin soya gane,මෙරට මහාචාර්යවරියක වන නාලිකා මලවිගේ දෙය ඇතුළත් ඔක්ස්ෆර්ඩ් සරසවියේ විශේෂඥ කණ්ඩායමක් විසින් සොයා ගැනේ
Ada Derana,3/30/2021 7:15,Received,"SL - Kodew 2 wana test tharagaya palamu dinaya: Batahira Indeeya Kodewwan 287/7 (K. Brathwaite 99, K. Mayers 49, Suranga Lakmal 71/3)","SL කොදෙව් දෙවන ටෙස්ට් තරඟය පළමු දිනය: බටහිර ඉන්දීය කොදෙව්වන් 287/7(k.brathwaite 99,k mayers 49, සුරංග ලක්මාල්  77/3)"
Hiru News,3/30/2021 6:59,Received,"Siravee thibu ""Ever Given"" bahalum nawukawa muda geneemen pasu, Suez ele nawuka gamana gamanaya yali aramba wei: Foreign Media","සිරවී තිබූ බහළුම් E""ver given""  නෞකාව මුදා ගැනීමෙන් පසු සූවස් ඇලේ  නෞකා ගමනාගමනය යළි ආරම්භ වෙයි: foreign media"
Hiru News,3/30/2021 6:48,Received,(2/2) Ginikona diga Arabi muhudu pradesha wala deewara ha nawuka katayuthu wala noyedenna; ema pradesha wala sitina deewarainta yali paminena lesa upades,ගිනිකොනදිග අරාබි මුහුදු ප්‍රදේශ වල ප්‍රදේශවල ධීවර හා නෞකා කටයුතු වල  එම ප්‍රදේශ වල සිටින ධීවරයින්ට යළි පැමිණෙන ලෙස උපදෙස්
Hiru News,3/30/2021 6:47,Received,"Idiri peya 72-thula Ginikona diga Bengala bokka, Andaman muhuda ha Gemburu muhuda pradesha wala menma, idiri peya 24-thula (1/2)","ඉදිරි පැය 72 -තුළ ගිනිකොන දිග බෙංගාල බොක්ක,අන්දමන් මුහුදේ හා ගැඹුරු මුහුද ප්‍රදේශ ප්‍රදේශවල මෙන්ම, ඉදිරි පැය 24-තුල"
Ada Derana,3/30/2021 6:39,Received,UPDATE: Pannipitiye dee lorry ratha riyadurekuta pahara dun police kosthapalwaraya athadanguwata,UPDATE: පන්නිපිටිය  ලොරි රථ රියදුරෙකුට පහරදුන් පොලිස් කොස්තාපල්වරයා අත්අඩංගුවට
Hiru News,3/30/2021 6:21,Received,Update: Pannipitiyedi lorry-ratha riyadurekuta pahara-dun Maharagama police kosthapalvaraya athadanguwata: Police Spokesman- Hirunews.lk,update පන්නිපිටියේ දී ලොරි-රථ රියදුරුට පහර-දුන්  මහරගම පොලිස් කොස්තාපල්වරයා අත්අඩංගුවට Police  Spokesman- Hiru news.lk
Ada Derana,3/29/2021 22:22,Received,(2/2)Cheena janadhipathi Xi Jinping ha janadhipathi Gotabaya Rajapaksa durakathana sanwadayaka niratha wemin ekagathwaya pala karai,චීන ජනාධිපති xi jinping හා ජනාධිපති ගෝඨාභය රාජපක්ෂ දුරකථන සංවාදයක නිරත වෙමින් එකඟතාවය පළ කරයි
Ada Derana,3/29/2021 22:21,Received,Siyalu ksheshthrayakama anynonya prathilaba sahitha dweeparshawiya sahayogeethawaya shakthimath kara wardanaya kireemata(1/2),සියලු ක්ෂේත්‍රයකම අන්‍යෝන්‍ය ප්‍රතිලාභ සහිත ද්විපාර්ශ්වීය සහයෝගීතාව ශක්තිමත් කර වර්ධනය කිරීමට
Hiru News,3/29/2021 22:08,Received,Janadhipathi Gotabaya Rajapaksa saha China Janadhipathi Xi Jinping athara durakathana sanwadayak; Dweiparshaweeya sabandatha wardanayatath ekagatha.: PMD,ජනාධිපති ගෝඨාභය රාජපක්ෂ සහ චීන ජනාධිපති අතර දුරකථන දුරකථන සංවාදයක් ද්විපාර්ශ්වීය සම්බන්ධතා වර්ධනයටත් එකගතා.:PMD
News 1st,3/29/2021 21:18,Received,Thawath corona marana 05k wartha wei.marana sankyawa 566k dakwa ihalata.- Saukya sewa adyaksha genaral,තවත් කොරෝනා මරණ 5 ක් වාර්ථාවෙයි මරණ සංඛ්‍යාව 560 හයක් දක්වා ඉහලට.: සෞඛ්‍ය සේවා අධ්‍යක්ෂ ජනරාල්
Hiru News,3/29/2021 20:53,Received,Update - Thawath COVID-19 asadithayin 71k wartha wei.: Army Commander,තවත් covid 19 ආසාදිතයින් 71ක් වාර්තා වාර්තාවෙයි.: army commander
Ada Derana,3/29/2021 20:48,Received,UPDATE: Thawath Covid-19 asadithayin 71 deneku haduna ganne.Ada meratin wartha wu asadithayin ganana 166 dakwa ihalata - Yuda hamudapathi,තවත් covid 19 ආසාදිතයින් 70 දෙනෙකු හඳුනා ගැනේ අද මෙරටින් වාර්තා වූ ආසාදිතයින් ගණන 166 දක්වා ඉහලට- යුද හමුදා පති
Hiru News,3/29/2021 20:38,Received,Thawath COVID-19 marana 05k wartha-wei; samastha marana 566 dakwa ihalata.: EPID,තවත් covid 19  මරණ 5ක් වාර්තා වේ සමස්ත මරණ 566 දක්වා ඉහලට EPID
Ada Derana,3/29/2021 19:15,Received,Antigua hi pawathwena Batahira Indeeya Kodewwanta erehi 2 wana test tharagaye kasiye wasiya dinuu Sri Lankawa palamuwa pandu rakeemata theeranaya karai,ඇන්ටිගුවා හි පවත්වන බටහිර ඉන්දීය කොදෙව්වන්ට එරෙහි 2 වන ටෙස්  තරගයේ කාසියේ වාසිය දිනූ ශ්‍රී ලංකාව පළමුව පන්දු  රැකීමට  තීරණය කරයි
Ada Derana,3/29/2021 19:07,Received,Lorry ratha riyadurekuta paharadeeme siddiyata sambanda Maharagama policliye kosthapalwarayage weda thahanam kere,ලොරි රථ රියදුරෙකුට පහර දීමේ සිද්ධියට සම්බන්ධ  මහරගම පොලිසියේ කොස්තාපල්වරයාගේ වැඩ තහනම් කෙරේ
Hiru News,3/29/2021 19:06,Received,"2nd Test, West Indies Vs Sri Lanka ' Antigua l Kasiye wasiya dinu Sri Lanka kandayama palamuwa pandu rekeemata theeranaya karai","2nd Test, West Indies VS Sri Lanka 'Antigua'| කාසියේ වාසිය දිනූ ශ්‍රී ලංකා කණ්ඩායම පළමුව පඳුරැ කීමට තීරණය කරයි"
Hiru News,3/29/2021 19:02,Received,"Update - Maargayedi riyadurekuta paharadun, Maharagama police-ye kosthapalvarayage weda thaham kere.: Amathya Sarath Weerasekara","update මාර්ගයේදී රියදුරෙකුට පහරදුන්, මහරගම  පොලිසියේ කොස්තාපල්වරයාගේ වැඩ තහනම් කෙරෙයි.: අමාත්‍ය සරත් වීරසේකර"
Hiru News,3/29/2021 18:47,Received,"Thawath COVID-19 asadithayin 291k suwaya laba pitawa yai; suwaya labu mulu sankyawa 88,914.: EPID",තවත් covid 19 ආසාදිතයින් 296 එකක් සුවය ලබා පිටව යයි සුවය ලැබූ මුළු සංඛ්‍යාව 88914  EPID
Ada Derana,3/29/2021 18:41,Received,"Covid-19 asadithayin 291 deneku suwaya labai.Merata suwaya labaa rohalwalin pitawa giya samastha ganana 88,914 dakwa ihalata - Saukya amathyanshaya","Covid 19 ආසාදිතයින් 291 දෙනෙකු සුවය ලබයි. මෙරට සුවය ලබන රෝහල්වලින් පිව ගිය සමස්ත ගණන 88,914 දක්වා ඉහලට - සෞඛ්‍ය අමාත්‍යංශය"
Ada Derana,3/29/2021 17:24,Received,Thawath Covid-19 asadithayin 95  deneku haduna ganne - Yuda hamudapathi,තවත් covid 19 ආසාදිතයින් 95 දෙනෙකු හඳුනා ගැනේ - යුද හමුදාපති
Hiru News,3/29/2021 17:10,Received,Thawath COVID-19 asadithayin 95k wartha wei.: Army Commander,තවත් covid 19 ආසාදිතයින් 95ක් වාර්තාවේ.: army commander
News 1st,3/29/2021 16:46,Received,"April 21 praharaya siduwa wasara 2k gathawa ethath,wagakiwa yuththanta danduwam nodanne, (1/2)","අප්‍රේල් 21 ප්‍රහාරය සිදු වූ වසර 2 ක් ගත ව ඇතත්, වගකිවයුත්තන්ට දඬුවම් නොදෙන්න"
News 1st,3/29/2021 16:46,Received,"e pilibanda soyana ayathanawalata balapem karanawadei,sekayak ethei, agaradaguru padawi prakashaka kamituwa kiyai.(2/2)","ඒ පිළිබඳ සොයන ආයතන වලට බලපෑම් කරනවා දැයි, සැකයක් ඇතැයි, අදරදගුරු පදවි  විපාක්ෂික කමිටුවට කියයි"
Ada Derana,3/29/2021 16:17,Received,(2/2)Colamba disa adhikaranayen Ranil Wickremesinghe ethulu pirisakata April 12 thek balapawathwena paridi waarana niyogayak,කොළඹ දිසා අධිකරණ රනිල් වික්‍රමසිංහ ඇතුළු පිරිසකට අප්‍රේල් 12 තෙක් බලපැවැත්වෙන පරිදි වාරණ නියෝගයක්
