singlish_news,transliterated_l1,transliterated_l2,man_written
ada meratin thawath covid-19 asadithayin 156 deneku haduna ganne - yuda hamudapathi,අඩ මෙරටින් තවත් covid - 19 අසඩිතයින් 156 ඩෙනෙකු හඳුනා ගන්නෙ - යුඩ හමුඩපති,අද මෙරටින් තවත් covid - 19 ආසාදිතයින් 156 දෙනෙකු හඳුනා ගැනේ - යුද හමුදාපති,අද මෙරටින් තවත් covid 19 ආසාදිතයින් 156 දෙනෙකු හඳුනා ගැනේ - යුද හමුදාපති
thawath covid-19 asadithayin 156k wartha wei.: army commander,තවත් covid - 19 අසඩිතයින් 156ක් වාර්තා වෙඉ .: army commander,තවත් covid - 19 ආසාදිතයින් 156ක් වාර්තා වෙයි . : army commander, තවත් Covid-19 ආසාදිතයින් 156 ක් වාර්තා වෙයි - Army Commander
"thawath covid-19 asadithayin 161k suwaya laba pitawa yai; suwaya labu mulu sankyawa 89,251.: epid","තවත් covid - 19 අසඩිතයින් 161ක් සුවය ලබ පිටව යඉ ; සුවය ලබු මුලු සන්ක්යව 89 , 251 .: එපිඩ්","තවත් covid - 19 ආසාදිතයින් 161ක් සුවය ලබ පිටව යයි ; සුවය ලබු මුලු සන්ක්යව 89,251 . : එපිඩ්","තවත් covid-19 ආසාදිතයින් 161 ක් සුවය ලබා පිටව යයි; සුවය ලැබූ මුළු සංඛ්‍යාව 89,251. : EPID"
"thawath covid-19 asadithayin 161 deneku suwaya labai.merata suwaya labaa rohalwalin pitawa giya samastha ganana 89,251 dakwa ihalata - saukya amathyanshaya","තවත් covid - 19 අසඩිතයින් 161 ඩෙනෙකු සුවය ලබඉ . මෙරට සුවය ලබා රොහල්වලින් පිටව ගිය සමස්ත ගනන 89 , 251 දක්වා ඉහලට - සෞඛ්‍ය අමත්යන්ශය","තවත් covid - 19 ආසාදිතයින් 161 දෙනෙකු සුවය ලබයි . මෙරට සුවය ලබා රෝහල්වලින් පිටව ගිය සමස්ත ගණන 89 , 251 දක්වා ඉහලට - සෞඛ්‍ය අමත්යන්ශය","තවත් covid-19 ආසාදිතයින් ආසාදිතයින් 161 දෙනෙකු සුවය ලබයි.මෙරට සුවය ලබන රෝහල් වලින් රෝහල්වලින් පිටව ගිය සමස්ත ගණන 89,251 දක්වා ඉහලට -සෞඛ්‍ය අමාත්‍යංශය"
"sanwidanathmaka aparadakaruweku wana ""podi lassi""-ge sahayakayeku(38), gini awiyak samaga ahangamadi stf athadanguwata.: police spokesman","සන්විඩනත්මක අපරඩකරුවෙකු වන "" පොඩි ලස්සි ""- ගෙ සහයකයෙකු ( 38 ), ගිනි අවියක් සමග අහඟමඩි ස්ට්f අත්අඩංගුවට .: police spokesmen","සන්විඩනත්මක අපරාධකරුවෙකු වන `` පොඩි ලස්සි `` - ගේ නායකයෙකු ( 38 ) , ගිනි අවියක් සමග අහිමි ස්ට්f අත්අඩංගුවට . : police spokesmen","සංවිධානාත්මක අපරාධ කරුවෙකු වන ""පොඩි ලැසී""-ගේ සහායකයෙකු (38), ගිනි අවියක් සමග අහංගම දී STF අත්අඩංගුවට.: police spokesman"
"sanwidanathmaka aparadakaruweku wana ""podi lassi""-ge sahayakayeku(38), gini awiyak samaga ahangamadi stf athadanguwata.: police spokesman","සන්විඩනත්මක අපරඩකරුවෙකු වන "" පොඩි ලස්සි ""- ගෙ සහයකයෙකු ( 38 ), ගිනි අවියක් සමග අහඟමඩි ස්ට්f අත්අඩංගුවට .: police spokesmen","සන්විඩනත්මක අපරාධකරුවෙකු වන `` පොඩි ලස්සි `` - ගේ නායකයෙකු ( 38 ) , ගිනි අවියක් සමග අහිමි ස්ට්f අත්අඩංගුවට . : police spokesmen","සංවිධානාත්මක අපරාධ කරුවෙකු වන ""පොඩි ලැසී""-ගේ සහායකයෙකු (38), ගිනි අවියක් සමග අහංගම දී STF අත්අඩංගුවට.: police spokesman"
(2/2)ennath thogaya cheena thanapathi wisin nila washayen janadhipathi gotabaya rajapaksa wetha baara dei, එන්නත් තොගය චීන තනපති විසින් නිල වශයෙන් ජනඩ්හිපති ගොටබය රජපක්ස වෙත බාර ඩෙඉ, එන්නත් තොගය චීන ජනපති විසින් නිල වශයෙන් ජනඩ්හිපති ගොටබය රාජපක්ෂ වෙත බාර දෙයි,එන්නත් තොගය චීන තානාතිපති විසින් නිල වශයෙන් ජනාධිපති ගෝඨාභය රාජපක්ෂ වෙත භාර දෙයි
"cheenaye nishpaditha sinopharm covid-19 ennath 600,000 k katunayaka guwan thotupala wetha(1/2)","චීනයෙ නිශ්පඩිත සිනොප්හර්ම් covid - 19 එන්නත් 600 , 000 ක් කටුනයක ගුවන් තොටුපල වෙත ","චීනයේ නිශ්චිත සිනොප්හර්ම් covid - 19 එන්නත් 600 , 000 ක් කටුනායක ගුවන් තොටුපල වෙත ",චීනය නිෂ්පාදිත sinopharm covid 19 එන්නත් 600000 ක් කටුනායක ගුවන්තොටුපල වෙත
2016.03.31 sidu-wu maha-banku bendumkara nikuthuwata adalawa hitapu mudal emathi ravi karunanayake athulu 06-dena heta(4/1) dakwa yali remand.: reporter,2016 . 03 . 31 සිදු - වු මහ - බන්කු බෙඳුම්කර නිකුතුවට අඩලව හිටපු මුඩල් එමති රවි කරුනනයකෙ ඇතුළු 06 - ඩෙන හෙට ( 4 / 1 ) දක්වා යලි remand .: reporter,2016 . 03 . 31 සිදු - වු මහ - බන්කු බැඳුම්කර නියුතුව අඩලව හිටපු මුදල් ඇමති රවී කරුනනයකෙ ඇතුළු 06 - දෙන හෙට ( 4 / 1 ) දක්වා යලි remand: reporter,2016.03.31සිදුවූ මහබැංකු මහ බැංකු බැදුම්කර බැඳුම්කර නිකුතුවට අදාළ අදාළව හිටපු මුදල් ඇමති රවි කරුණානායක ඇතුළු 06 හෙට දක්වා යළි remand: reporter
"chinaye nishpaditha sinopharm ennath mathra laksha 6k, china thanapathi wisin katunayakadi (bia) janadhipathi gotabaya rajapaksa wetha baara-dei: pmd","චිනයෙ නිශ්පඩිත සිනොප්හර්ම් එන්නත් මත්‍ර ලක්ශ 6ක් , චින තනපති විසින් කටුනයකඩි ( බිඅ ) ජනඩ්හිපති ගොටබය රජපක්ස වෙත බාර - ඩෙඉ : PMD","චීනයේ නිශ්චිත සිනොප්හර්ම් එන්නත් මත්‍ර ලක්ෂ 6ක් , චීන ජනපති විසින් කටුනයකඩි ( බිඅ ) ජනඩ්හිපති ගොටබය රාජපක්ෂ වෙත බාර - දෙයි : PMD","චීනයේ නිෂ්පාදිත sinopharm එන්නත් මාත්‍රා ලක්ෂ 6ක්, චීන තානාපති විසින් කටුනායක දී (BIA) ජනාධිපති ගෝඨාභය රාජපක්ෂ වෙත භාර-දෙයි:PMD"
chinaye nishpaditha sinopharm corona mardana ennath mathra laksha 6k diwainata warthakaru,චිනයෙ නිශ්පඩිත සිනොප්හර්ම් කොරෝනා මර්ඩන එන්නත් මත්‍ර ලක්ශ 6ක් ඩිවඉනට  වාර්තාකරු,චීනයේ නිශ්චිත සිනොප්හර්ම් කොරෝනා මර්දන එන්නත් මත්‍ර ලක්ෂ 6ක් දිවයිනට  වාර්තාකරු,චීනයේ නිෂ්පාදිත sinopharm කොරෝනා මර්ධන එන්නත් මාත්‍රා ලක්ෂ 6ක් දිවයිනටවාර්තාකරු
heroin 65g ha 485g laga thaba gath sekakaruwan siwu denekuta epa labaa deemata(1/2),හෙරොඉන් 65ග් හා 485ග් ළඟ  තබ ගත් සෙකකරුවන් සිවු ඩෙනෙකුට එප ලබා ඩීමට ,හෙරොයින් 65ග් හා 485ග් ළඟ තඹ ගත් සැකකරුවන් සිවු දෙනෙකුට අප ලබා දීමට ,හෙරොයින් 65g හා 485g ළඟ තබාගත් තබා ගත් සැකකරුවන් සිව් දෙනකුට ඇප ලබාදීමට
(2/2)colamba mahadhikaranaya laba dun niyogayak athhituwana lesa neethipathi abhiyachanadhikaranayen illai, කොලඹ මහඩ්හිකරනය ලබ ඩුන් නියොගයක් අත්හිටුවන ලෙස නීතිපති අබ්හියචනඩ්හිකරනයෙන් ඉල්ලඉ, කොළඹ මහඩ්හිකරනය ලබ දුන් නියෝගයක් අත්හිටුවන ලෙස නීතිපති අබ්හියචනඩ්හිකරනයෙන් ඉල්ලා,කොළඹ මහාධිකරණය ලබාදුන් නියෝගයක් අත්හිටුවන ලෙස නීතිපති අභියාචනාධිකරණයෙන් ඉල්ලයි
"(2/2)kerala, vizhinjam hidee indeeya weralarakshaka niladharin baarayata - indeeya maadya"," කෙරල , විzහින්ජම් හිඩී ඉඳීය වෙරලරක්ශක නිලඩ්හරින් බාරයට - ඉඳීය මාධ්‍ය"," කේරළ , විzහින්ජම් හිදී ඉඳීය වෙරලරක්ශක නිලඩ්හරින් බාරයට - ඉඳීය මාධ්‍ය","kerala,vizhinjam හිදි  ඉන්දීය වෙරළාරක්ෂක නිලධාරීන් භාරයට - ඉන්දීය මාධ්‍ය"
"heroin 300kg, ak-47 rifles 5 k ha pathorom 1,000 k samaga sri lanka deewara yathrawak ha ehi siti pudgalayin 6 deneku(1/2)","හෙරොඉන් 300ක්ග් , අක් - 47 රිfලෙස් 5 ක් හා පතොරොම් 1 , 000 ක් සමග ශ්‍රී ලංකාව ඩීවර යත්‍රවක් හා එහි සිටි පුඩ්ගලයින් 6 ඩෙනෙකු ","හෙරොයින් 300ක්ග් , අක් - 47 රිfලෙස් 5 ක් හා පතොරොම් 1 , 000 ක් සමග ශ්‍රී ලංකාව ධීවර යත්‍රවක් හා එහි සිටි පුද්ගලයින් 6 දෙනෙකු ","හෙරොයින් 300kg,AK-47 rifles 5ක් හා පතරොම් 1,000ක් සමඟ ශ්‍රී ලංකා ශ්‍රී ලංකා ධීවර යාත්‍රාවක හා ඇති සිටි පුද්ගලයින් 6 දෙනෙකු"
"""hiru sathpaththini seth shanthiya"" wenuwen aluth sahal ekres kireema anuradhapura ruwanweli maha seradun, kataragama kiri wehera saha (1/2)",""" හිරු සත්පත්තිනි සෙත් ශන්තිය "" වෙනුවෙන් අලුත් සහල් එක්‍රෙස් කිරීම අනුරඩ්හපුර රුවන්වෙලි මහ සෙරඩුන් , කටරගම කිරි වෙහෙර සහ ","`` හිරු සත්පත්තිනි සෙත් ශක්තිය `` වෙනුවෙන් අලුත් සහල් එක්රැස් කිරීම අනුරඩ්හපුර රුවන්වැලි මහ සෙරඩුන් , කිරීම කිරි වෙහෙර සහ ","""හිරු සත්පතිනි සෙත් ශාන්තිය"" වෙනුවෙන් අලුත් අලූත් සහල් එක්රැස් කිරීම  අනුරාධපුර රුවන්වැලි මහා මහ සෑ රදුන්, කතරගම කිරිවෙහෙර සහ"
(2/2) mahiyanganaya raja maha wiharasthanaya abhiyasin erambe; sajivee thorathuru sadaha hiru tv balanna, මහියඟනය රජ මහ විහරස්තනය අබ්හියසින් එරඹෙ ; සජිවී තොරතුරු සඩහ හිරු ට්ව් බලන්න, මහියංගනය රජ මහ විහරස්තනය අබ්හියසින් ඇරඹේ ; සජීවී තොරතුරු සඩහ හිරු ට්ව් බලන්න,මහියංගනය රජ මහා විහාරස්ථානය අබියසින් ඇරඹේ; සජීවී තොරතුරු සඳහා HIRU TV බලන්න
"sl - kodew 2 wana test tharagaye 2 wana dinaya: sri lankawa 136/3* (chandimal 34*, dhananjaya 23*, thirimanne 55)","ස්ල් - කොඩෙව් 2 වන test තරගයෙ 2 වන ඩිනය : ශ්‍රී ලංකාවව 136 / 3 * ( චඳිමල් 34 *, ඩ්හනන්ජය 23 *, තිරිමන්නෙ 55 )","ස්ල් - කොදෙව් 2 වන test තරගය 2 වන දිනය : ශ්‍රී ලංකාවව 136 / 3 * ( චඳිමල් 34 * , ඩ්හනන්ජය 23 * , තිරිමාන්න 55 )","SL-කොදෙව් 2 වන ටෙස්ට් තරගයේ 2 වන දිනය: ශ්‍රී ලංකාව 136/3* (චන්දිමාල්34*, ධනංජය 23*, තිරිමාන්න 55)"
yathurupedi anathuru awama kireeme aramunin ada sita dina 4 k divayina pura wedasatahanak kriyathmaka kere - police maadya prakashaka,යතුරුපෙඩි අනතුරු අවම කිරීමෙ අරමුනින් අඩ සිට ඩින 4 ක් ඩිවයින පුර වෙඩසටහනක් ක්‍රියත්මක කෙරෙ - police මාධ්‍ය ප්‍රකශක,යතුරුපැදි අනතුරු අවම කිරීමේ අරමුණින් අද සිට දින 4 ක් දිවයින පුර වැඩසටහනක් ක්‍රියත්මක කෙරේ - police මාධ්‍ය ප්‍රකශක,යතුරුපැදි අනතුරු අවම කිරීමේ අරමුණින් අද සිට දින 4ක් දිවයින පුරා වැඩසටහන ක්‍රියාත්මක කෙරේ - පොලිස් මාධ්‍ය ප්‍රකාශක
"yathuru-pedi anathuru welek-weeme aramunin, ada sita diwaina pura dina 04-ka wishesha meheyumak.: police spokesman","යතුරු - පෙඩි අනතුරු වෙලෙක් - වීමෙ අරමුනින් , අඩ සිට ඩිවඉන පුර ඩින 04 - ක විශේෂ මෙහෙයුමක් .: police spokesmen","යතුරු - පෙඩි අනතුරු වෙලෙක් - වීමේ අරමුණින් , අද සිට දිවයින පුර දින 04 - ක විශේෂ මෙහෙයුමක් . : police spokesmen","යතුරු-පැදි අනතුරු වැළැ-ක්වීමේ අරමුණින්,අද සිට දිවයින පුරා දින 04- කවිශේෂ මෙහෙයවීමක් - police spokesman"
"sl - kodew 2 wana test tharagaya: batahira indeeya kodewwan palamu inimata siyallan dawee 354 (k brathwaite 126, r cornwall 73, suranga lakmal 94/4)","ස්ල් - කොඩෙව් 2 වන test තරගය : බටහිර ඉඳීය කොඩෙව්වන් පලමු ඉනිමට සියල්ලන් ඩවී 354 ( ක් බ්‍රත්වඉටෙ 126 , ර් කොර්න්වල්ල් 73 , සුරඟ ලක්මල් 94 / 4 )","ස්ල් - කොදෙව් 2 වන test තරගය : බටහිර ඉඳීය කොඩෙව්වන් පළමු ඉනිමට සියල්ලන් ඩවී 354 ( ක් බ්‍රත්වඉටෙ 126 , ර් කොර්න්වල්ල් 73 , සුරඟ ලක්මාල් 94 / 4 )","SL කොදෙව් 2 වන  test  තරගය: ටෙස්ට් තරගය බටහිර ඉන්දීය කොදෙව්වන් පළමු ඉනිමට සියල්ලන් දැවී 354(K Brathwaite 126,R cornwall 73,සුරංග  ලක්මාල් 94/4)"
"2nd test, west indies vs sri lanka ' antigua l west indies palamu inima 354/10 (brathwaite 126, cornwall 73, lakmal 94/4, chameera 69/3)","2ඳ් test , වෙස්ට් ඉඳීස් ව්ස් ශ්‍රී ලංකාව ' අන්ටිගුඅ ල් වෙස්ට් ඉඳීස් පලමු ඉනිම 354 / 10 ( බ්‍රත්වඉටෙ 126 , කොර්න්වල්ල් 73 , ලක්මල් 94 / 4 , චමීර 69 / 3 )","2ඳ් test , වෙස්ට් ඉඳීස් ව්ස් ශ්‍රී ලංකාව ' අන්ටිගුඅ ල් වෙස්ට් ඉඳීස් පළමු ඉනිම 354 / 10 ( බ්‍රත්වඉටෙ 126 , කොර්න්වල්ල් 73 , ලක්මාල් 94 / 4 , චමීර 69 / 3 )","2nd test, west indies vs ශ්‍රී ලංකා 'ඇන්ටිගුවා l west indies පළමු ඉනිම 354/10 ( brathwaite 126,cornwall 73, ලක්මාල් 94/4,චමීර 69/3)"
update - thawath covid-19 asadithayin 23k wartha wei.: army commander,update - තවත් covid - 19 අසඩිතයින් 23ක් වාර්තා වෙඉ .: army commander,update - තවත් covid - 19 ආසාදිතයින් 23ක් වාර්තා වෙයි . : army commander,update  - තවත් covid 19 ආසාදිතයින් 23ක් වාර්තා වෙයි Army Commander
thawath corona asadithain 102k handuna gene rajaye prauththi departhamenthuwa,තවත් කොරෝනා අසඩිතඉන් 102ක් හඳුන ගෙනෙ  රජයෙ ප්‍රෞත්ති දෙපාර්තමේන්තුව,තවත් කොරෝනා අසඩිතඉන් 102ක් හඳුන ගෙනෙ  රජයේ ප්‍රෞත්ති දෙපාර්තමේන්තුව,තවත්  කොරෝනා ආසාදිතයින්  102ක් හඳුනාගැනේ රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව
thawath covid-19 asadithayin 102k wartha wei.: army commander,තවත් covid - 19 අසඩිතයින් 102ක් වාර්තා වෙඉ .: army commander,තවත් covid - 19 ආසාදිතයින් 102ක් වාර්තා වෙයි . : army commander, තවත් covid 19 ආසාදිතයින් 23ක් වාර්තා වෙයි.: army Commander
2016 bendumkara siddiyata adalawa hitapu amathya ravi karunanayake athulu 08-dena 04/01 dakwa yali remand.: reporter,2016 බෙඳුම්කර සිඩ්ඩියට අඩලව හිටපු අමත්ය රවි කරුනනයකෙ ඇතුළු 08 - ඩෙන 04 / 01 දක්වා යලි remand .: reporter,2016 බැඳුම්කර සිද්ධියට අඩලව හිටපු අමාත්‍ය රවී කරුනනයකෙ ඇතුළු 08 - දෙන 04 / 01 දක්වා යලි remand . : reporter,2016 බැඳුම්කර සිද්ධියට අදාළව හිටපු අමාත්‍ය රවී කරුණානායක ඇතුළු 8-දෙනා 04/1 දක්වා යළි remand.: reporter
"thawath covid-19 asadithayin 176k suwaya laba pitawa yai; suwaya labu mulu sankyawa 89,090.: epid","තවත් covid - 19 අසඩිතයින් 176ක් සුවය ලබ පිටව යඉ ; සුවය ලබු මුලු සන්ක්යව 89 , 090 .: එපිඩ්","තවත් covid - 19 ආසාදිතයින් 176ක් සුවය ලබ පිටව යයි ; සුවය ලබු මුලු සන්ක්යව 89 , 090 . : EPID",තවත් covid 19 ආසාදිතයින් 176ක් සුවය ලබා පිටව යයි සුවය ලැබූ මුළු සංඛ්‍යාව 89090:EPID
(2/2)april 01 prakashayata path karana bawata colamba mahadhikaranaya niyoga karai, අප්‍රිල් 01 ප්‍රකශයට පත් කරන බවට කොලඹ මහඩ්හිකරනය නියොග කරඉ, අප්‍රිල් 01 ප්‍රකශයට පත් කරන බවට කොළඹ මහඩ්හිකරනය නියෝග කරයි,April 01 April 01 ප්‍රකාශයට පත්කරන බවට කොළඹ මහාධිකරණය නියෝග කරයි
hitapu amathya ravi karunanayake ethulu 8 dena epa matha mudaharinneda nedda yanna pilibanda niyogaya(1/2),හිටපු අමත්ය රවි කරුනනයකෙ එතුලු 8 ඩෙන එප මත මුඩහරින්නෙඩ නෙඩ්ඩ යන්න පිලිබඳ නියොගය ,හිටපු අමාත්‍ය රවී කරුනනයකෙ ඇතුළු 8 දෙන අප මත මුඩහරින්නෙඩ නෙඩ්ඩ යන්න පිලිබඳ නියෝගය ,හිටපු අමාත්‍ය රවී කරුණානායක ඇතුළු 08 දෙනා ඇප මත මුදා හරින්නෙ නැද්ද යන්න පිළිබඳ නියෝගය
"covid-19 asadithayin 176 deneku suwaya labai.merata suwaya labaa rohalwalin pitawa giya samastha ganana 89,090 dakwa ihalata - saukya amathyanshaya","covid - 19 අසඩිතයින් 176 ඩෙනෙකු සුවය ලබඉ . මෙරට සුවය ලබා රොහල්වලින් පිටව ගිය සමස්ත ගනන 89 , 090 දක්වා ඉහලට - සෞඛ්‍ය අමත්යන්ශය","covid - 19 ආසාදිතයින් 176 දෙනෙකු සුවය ලබයි . මෙරට සුවය ලබා රෝහල්වලින් පිටව ගිය සමස්ත ගණන 89 , 090 දක්වා ඉහලට - සෞඛ්‍ය අමත්යන්ශය",Covid-19 ආසාදිතයින් 176 දෙනෙකු සුවය ලබයි. මෙරට සුවය ලබා රෝහල් වලින් පිටව ගිය සමස්ත ගණන 89090 දක්වා  ඉහලට-සෞඛ්‍ය අමාත්‍යාංශය
"pudgalayin 9,102 denekuta eye dinaye oxford astra-zeneca ennath labaa deemath samaga me dakwa 903,467 denekuta ennathkaranaya sidu karai","පුඩ්ගලයින් 9 , 102 ඩෙනෙකුට එයෙ ඩිනයෙ oxford astra zeneca එන්නත් ලබා ඩීමත් සමග මේ දක්වා 903 , 467 ඩෙනෙකුට එන්නත්කරනය සිදු කරඉ","පුද්ගලයින් 9 , 102 දෙනෙකුට එයෙ දිනයේ oxford astra zeneca එන්නත් ලබා දීමත් සමග මේ දක්වා 903 , 467 දෙනෙකුට එන්නත්කරණ සිදු කරයි","පුද්ගලයින්  9,102 දෙනෙකු ඊයේ දිනයේ oxford  astra zeneca එන්නත ලබා දීමත් සමග මේ දක්වා 903,467 දෙනෙකුට එන්නත් කරන සිදු කරයි"
"swarnamahal jewellers hitapu adyakshawarun wana jeewaka, asanka, nalaka ha deepa edirisinghe, april 01 dakwa yali remand","ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හිටපු අධ්‍යක්ෂවරුන් වන ජීවක , අසන්ක , නලක හා ඩීප එඩිරිසිඟ්හෙ , අප්‍රිල් 01 දක්වා යලි remand","ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හිටපු අධ්‍යක්ෂවරුන් වන ජීවක , අසන්ත , නලක හා ඩීප එඩිරිසිඟ්හෙ , අප්‍රිල් 01 දක්වා යලි remand","සරණ මහල් ජුවලර්ස් හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක,අසංක,නාලක හා දීපා එදිරිසිංහ අප්‍රේල් 1 දක්වා යළි remand"
