singlish_news,transliterated_l1,transliterated_l2,man_written,google
dumriya riyaduran saha niyamakawarun weda warjanayaka; dhawanaya wanne kaaryala dumriya kihipayak pamani,දුම්‍රිය රියදුරන් සහ නියමකවරුන් වෙද වර්ජනයක ; ද්හවනය වන්නෙ කාර්යල දුම්‍රිය කිහිපයක් පමනි,දුම්‍රිය රියදුරන් සහ නියමකවරුන් වෙද වර්ජනයක ද්හවනය වන්නෙ කාර්යල දුම්‍රිය කිහිපයක් පමනි,දුම්රිය රියදුරන් සහ නියාමකවරුන් වැඩ වැඩවර්ජනයක ධාවනය වන්නේ කාර්යාල දුම්රිය කිහිපයක් පමණි,දුම්රිය රියදුරන් සහ නියාමකවරුන් වේද වර්ජංඅයක ධාවනය වන්නේ කාර්යාල දුම්රිය කිහිපයක් පමණි
paasku irudina praharaya gena wimarshanaya kala janadhipathi komisame warthawa marthu 25 ha 26(1/2),පාස්කු ඉරුදින ප්‍රහරය ගෙන විමර්ශනය කල ජනද්හිපති කෝමිසමෙ වර්තව මර්තු 25 හා 26 ( 1 / 2 ),පාස්කු ඉරුදින ප්‍රහරය ගෙන විමර්ශනය කල ජනද්හිපති කෝමිසමෙ වර්තව මර්තු 25 හා 26,පාස්කු ඉරුදින ප්‍රහාරය ගැන විමර්ශනය කළ ජනාධිපති කොමිසමේ වාර්තාව මාර්තු 25  හා  26,පාස්කු ඉරුදින ප්‍රහාරය ගෙන විමර්ශනය කල ජනාධිපති කොමිසමේ වාර්තාව මාර්තු 25 හා 26
thawath corona marana 03k wartha wei.marana sankyawa 537 dakwa ihalata.- saukya sewa adyaksha genaral.,තවත් කෝරෝන මරන 03ක් වර්ත වෙයි . මරන සන්ක්යව 537 දක්වා ඉහලට .- සෞක්ය සෙව අද්යක්ශ ගෙනරල් .,තවත් කෝරෝන මරන 03ක් වර්ත වෙයි . මරන සන්ක්යව 537 දක්වා ඉහලට .- සෞක්ය සෙව අද්යක්ශ ගෙනරල් .,තවත් කොරෝනා මරණ 3ක් වාර්තා වෙයි . මරණ සංඛ්‍යාව 537 දක්වා ඉහලට .- සෞඛ්‍ය සේවා අධ්‍යක්ෂ ජනරාල්,තවත් චොරෝන මරණ 03ක් වාර්තා වෙඉ.මරණ සන්ක්යව 537 දක්වා ඉහලත සෞක්‍ය සේවා අද්‍යක්ෂ ගෙනරල
bedumkara wanchawata adalawa 2016 marthu 29 ha 31 sidu wu bedumkara wendesiya pilibanda neethipathi vishesha mahadhikaranaye adhi chodana gonu karai,බෙදුම්කර වන්චවට අදලව 2016 මර්තු 29 හා 31 සිදු වු බෙදුම්කර වෙන්දෙසිය පිලිබන්ද නීතිපති විශේෂ මහද්හිකරනයෙ අද්හි චෝදන ගෝනු කරයි,බෙදුම්කර වන්චවට අදලව 2016 මර්තු 29 හා 31 සිදු වු බෙදුම්කර වෙන්දෙසිය පිලිබන්ද නීතිපති විශේෂ මහද්හිකරනයෙ අද්හි චෝදන ගෝනු කරයි,බැඳුම්කර වංචාවට අදාලව 2016 මාර්තු 29 හා 31 සිදු වූ බැඳුම්කර වෙන්දේසිය පිළිබඳ නීතිපති විශේෂ මහාධිකරණයේ අධි චෝදනා ගොනු කරයි,බෙදුම්කර වංචාවට අදාලව 2016 මාර්තු 29 හා 31 සිදු වූ බෙදුම්කර වෙන්දේසිය පිලිබඳ නීතිපති විශේෂ මහාධිකරණයේ අධි චෝදනා ගොනු කරි
ada covid-19 asaditha marana 03 k wartha weemath samaga merata samastha marana ganana 537 dakwa ihalata - saukya amathyanshaya,අද covid - 19 අසදිත මරන 03 ක් වර්ත වීමත් සමග මෙරට සමස්ත මරන ගනන 537 දක්වා ඉහලට - සෞක්ය අමත්යන්ශය,අද covid - 19 අසදිත මරන 03 ක් වර්ත වීමත් සමග මෙරට සමස්ත මරන ගනන 537 දක්වා ඉහලට - සෞක්ය අමත්යන්ශය,අද covid 19 ආසාදිත මරණ 3ක් වාර්තා වාර්තා වීමත් සමග වාර්තාවීමත් සමඟ මෙරට සමස්ත මරණ ගණන 537 දක්වා ඉහළට සෞඛ්‍ය අමාත්‍යාංශය,අද චොවිඩ්-19 අසාදිත මරණ 03 ක් වාර්තා වීමත් සමග මෙරට සමස්ත මරණ ගණන 537 දක්වා ඉහලට - සෞක්‍ය අමාත්යංශය
thawath corona asadithain 178k handuna gene.- rajaye prauththi departhamenthuwa,තවත් කෝරෝන අසදිතඉන් 178ක් හන්දුන ගෙනෙ .- රජයෙ ප්‍රෞත්ති දෙපර්තමෙන්තුව,තවත් කෝරෝන අසදිතඉන් 178ක් හන්දුන ගෙනෙ .- රජයෙ ප්‍රෞත්ති දෙපර්තමෙන්තුව,තවත් කොරෝනා ආසාදිතයින් 178ක් හඳුනා ගැනී .- රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව,තවත් චොරෝන අසදිතෛන් 178ක් හඳුනා ගෙනෙ රජයේ ප්‍රුත්ති දෙපාර්තමේන්තුව
"wathu kamkaru dainika wetupa rupiyal 1,000k bawata path karamin nikuth kala gazzte niwedanaya balarahitha karana lesa illa..(1/2)","වතු කම්කරු දඉනික වෙටුප රුපියල් 1 , 000ක් බවට පත් කරමින් නිකුත් කල ගzzටෙ නිවෙදනය බලරහිත කරන ලෙස ඉල්ල ..( 1 / 2 )",වතු කම්කරු දෛනික වෙටුප රුපියල් 1000ක් බවට පත් කරමින් නිකුත් කල ගzzටෙ නිවෙදනය බලරහිත කරන ලෙස ඉල්ල,වතු කම්කරු දෛනික වැටුප රුපියල්  1000ක් බවට පත් කරමින් නිකුත් කළ ගැසට් නිවේදනය බලරහිත කරන ලෙස ඉල්ලා,වතු කම්කරු දෛනික වෙටුප රුපියල් 1 බවට පත් කරමින් නිකුත් කල ගළ්ළ්තෙ නිවේදනය බලරහිත කරන ලෙස ඉල්ලා
..wewili samagam 20k abhiyachanadhikaranayata rit agcha pethsamak gonu karai.(2/2),.. වෙවිලි සමගම් 20ක් අබ්හියචනද්හිකරනයට රිට් අග්ච පෙත්සමක් ගෝනු කරයි .( 2 / 2 ),වෙවිලි සමගම් 20ක් අබ්හියචනද්හිකරනයට රිට් අග්ච පෙත්සමක් ගෝනු කරයි,වැවිලි සමාගම් 20ක් අභියාචනාධිකරණයට රිට් ආඥා ආඥා පෙත්සමක් ගොනු කරයි,වෙවිලි සමාගම් 20ක් අභියාචනාධිකරණයට රිට් අග්ච පෙත්සමක් ගොනු කරි
"swarnamahal jewellers hi hitapu adyakshawarun wana jeewaka, anjalee, asanka ha nalaka edirisinghe kotuwa mahesthrath adhikaranaya hamuwata","ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හි හිටපු අද්යක්ශවරුන් වන ජීවක , අන්ජලී , අසන්ක හා නලක එදිරිසින්ග්හෙ කෝටුව මහෙස්ත්‍රත් අද්හිකරනය හමුවට","ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හි හිටපු අද්යක්ශවරුන් වන ජීවක , අන්ජලී , අසන්ක හා නලක එදිරිසින්ග්හෙ කෝටුව මහෙස්ත්‍රත් අද්හිකරනය හමුවට","ස්වර්ණමහල් ජුවලර්ස් හි හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක  ,අන්ජලී, අසංක හා නාලක එදිරිසිංහ කොටුව මහේස්ත්‍රාත් අධිකරණය හමුවට",ස්වර්ණමහල් ජෙවෙල්ලෙර්ස් හි හිටපු අද්යක්ෂවරුන් වන ජීවක ඇන්ජලී අසංක හා නාලක එදිරිසින්ග්හේ කොටුව මහේස්ත්‍රාත් අධිකරණය හමුවට
maha banku bendumkara chodanawata adalawa hitapu emathi ravi karunanayake athulu 08-dena 03/23 dakwa remand kirimata colamba mahadhikaranayen niyoga,මහ බන්කු බෙන්දුම්කර චෝදනවට අදලව හිටපු එමති රවි කරුනනයකෙ ඇතුළු 08 - දෙන 03 / 23 දක්වා රෙමන්ද් කිරිමට කෝලම්බ මහද්හිකරනයෙන් නියෝග,මහ බන්කු බෙන්දුම්කර චෝදනවට අදලව හිටපු එමති රවි කරුනනයකෙ ඇතුළු 08 - දෙන 03/23 දක්වා රෙමන්ද් කිරිමට කෝලම්බ මහද්හිකරනයෙන් නියෝග,මහ බැංකු බැඳුම්කර චෝදනාවට අදාළව හිටපු ඇමැති රවි කරුණානායක ඇතුළු 08 - දෙනා 03/23 දක්වා රිමාන්ඩ් කිරීමට කොළඹ මහාධිකරණයෙන් නියෝග,මහා බැංකු බෙන්දුම්කර චෝදනාවට අදාලව හිටපු එමති රවී කරුනනයකේ ඇතුළු 08-දෙන 03/23 දක්වා රේමන්ඩ් කිරීමට චොළඹ මහාධිකරණයෙන් නියෝග
