singlish_news,transliterated_l1,transliterated_l2,man_written
update-passara 13 kanuwa pradeshaye siduwu bus ratha anathurin miyagiya sankyawa 15k dakwa ihalata-badulla rohal adyaksha,update - පස්සර 13 කනුව ප්‍රඩෙශයෙ සිඩුවු බුස් රත අනතුරින් මියගිය සන්ක්යව 15ක් දක්වා ඉහලට - බඩුල්ල රොහල් අධ්‍යක්ෂ,update - පස්සර 13 කනුව ප්‍රදේශයේ සිදුවූ බුෂ් රථ අනතුරින් මියගිය සන්ක්යව 15ක් දක්වා ඉහලට - බදුල්ල රෝහල් අධ්‍යක්ෂ,Update : පස්සර 13 කනුව ප්‍රදේශයේ සිදු වූ බස් රථ අනතුරෙන් මිය ගිය සංඛ්‍යාව 15 ක් දක්වා ඉහලට -බදුල්ල රෝහල් අධ්‍යක්ෂ
update - passara bus anathure nawathama video darshna sadaha 11.55am-ta hiru tv balanna,update - පස්සර බුස් අනතුරෙ නවතම විඩෙඔ ඩර්ශ්න සඳහා 11 . 55අම් - ට හිරු tv බලන්න,update - පස්සර බුෂ් අනතුර නවතම විඩෙඔ ඩර්ශ්න සඳහා 11 . 55අම් - ට හිරු tv බලන්න,Update : පස්සර බස් අනතුරේ නවතම වීඩියෝ දර්ශන සඳහා 11.55  a.m. ට හිරු TV බලන්න
nowana bawata haduna ganeema nisa owun colamba remand bandanagaraya wetha maaru karai,නොවන බවට හඳුනා ගනීම නිසා ඔවුන් කොලඹ remand බඳනගරය වෙත මාරු කරඉ,නොවන බවට හඳුනා ගනීම නිසා ඔවුන් කොළඹ remand නගරය වෙත මාරු කරයි,නොවන බව හඳුනා ගැනීම නිසා ඔවුන් කොළඹ රිමාන්ඩ් බන්ධනාගාරය වෙත මාරු කරයි
bedumkara wanchawata adalawa remand kara sitina ravi karunanayake ethulu 8 dena covid-19 asadithayin,බෙඩුම්කර වන්චවට අඩලව remand කර සිටින රවි කරුනනයකෙ එතුලු 8 ඩෙන covid - 19 අසඩිතයින් ,බැඳුම්කර වන්නට අඩලව remand කර සිටින රවී කරුනනයකෙ ඇතුළු 8 දෙන covid - 19 ආසාධිතයින් ,බැඳුම්කර වංචාවට අදාළව රිමාන්ඩ් කර සිටින රවි කරුණී කරුණානායක ඇතුළු අට දෙනා Covid 19 ආසාධිතයින් 
sinharaja sooriyakanda kandamuduna pradeshaye ruk ropana kriyanwithaya v - force dayakathwayen erambe.,සින්හරජ සූරියකඳ කඳමුඩුන ප්‍රඩෙශයෙ රුක් රොපන ක්‍රියන්විතය v - force ඩයකත්වයෙන් එරඹෙ .,සින්හරජ සූරියකඳ කඳමුඩුන ප්‍රදේශයේ රුක් රෝපණ ක්‍රියන්විතය v - force දායකත්වයෙන් ඇරඹේ .,සිංහරාජ සූරියකන්ද කන්ද මුදුන ප්‍රදේශයේ රුක් රෝපණ රුක්රෝපණ ක්‍රියාන්විතය V-Force දායකත්වයෙන් ඇරඹේ 
ampara pradeshaye sidu kala perashuuta puhunuweemak atharathura sidu wu anathurakin guwan hamuda niladhariyeku miya yai,අම්පර ප්‍රඩෙශයෙ සිදු කල පෙරශූට පුහුනුවීමක් අතරතුර සිදු වු අනතුරකින් ගුවන් හමුඩ නිලඩ්හරියෙකු මිය යඉ,අම්පාර ප්‍රදේශයේ සිදු කල පෙරශූට පුහුණුවීම් අතරතුර සිදු වු අනතුරකින් ගුවන් හමුඩ නිලඩ්හරියෙකු මිය යයි,අම්පාර ප්‍රදේශයේ සිදුකළ පැරෂුට් පුහුණුවීමක් අතරතුර සිදු වූ අනතුරකින් ගුවන් හමුදා නිලධාරියකු මියයයි
update : guwan hamudha samajikayeku miya yai. thawath ayeku thuwala labai. - guwan hamudhawa,update : ගුවන් හමුඩ්හ සමජිකයෙකු මිය යඉ . තවත් අයෙකු තුවල ලබඉ . - ගුවන් හමුඩ්හව,update : ගුවන් හමුඩ්හ සාමාජිකයෙකු මිය යයි . තවත් අයෙකු තුවල ලබයි . - ගුවන් හමුඩ්හව,Update : ගුවන් හමුදා සාමාජිකයෙකු මියයයි. මිය යයි තවත් අයෙකු තුවාල ලබයි -ගුවන් හමුදාව
ampara uhana guwan hamudha kadawure pewathi parashoot puhunuwakadi sidu u anathurakin,අම්පර උහන ගුවන් හමුඩ්හ කඩවුරෙ පෙවති පරශූට් පුහුනුවකඩි සිදු උ අනතුරකින්,අම්පාර උහන ගුවන් හමුඩ්හ කඳවුරේ පෙවති පරශූට් පුහුනුවකඩි සිදු වූ අනතුරකින්,අම්පාර උහන ගුවන් හමුදා කඳවුරේ පැවැති පැරශුට් පුහුණුවකදී සිදු වූ අනතුරකින්
update: passara sidu wu bus ratha anathurin miya giya ganana 13 k ha thuwala lebuuwan ganana 31 dakwa ihalata,update : පස්සර සිදු වු බුස් රත අනතුරින් මිය ගිය ගනන 13 ක් හා තුවල ලෙබූවන් ගනන 31 දක්වා ඉහලට,update : පස්සර සිදු වු බුෂ් රථ අනතුරින් මිය ගිය ගණන 13 ක් හා තුවල ලෙබූවන් ගණන 31 දක්වා ඉහලට,පස්සර සිදු වූ බස් රථ අනතුරින් මියගිය ගණන 13 ක් හා තුවාල ලැබුවන් ගණන 31 ක්  දක්වා ඉහළට.
update-passara bus ratha anathurin miya giya sankyawa 14 dakwa ihalata. thuwala lebu sankyawa 46-disthrik waidya niladari,update - පස්සර බුස් රත අනතුරින් මිය ගිය සන්ක්යව 14 දක්වා ඉහලට . තුවල ලෙබු සන්ක්යව 46 - ඩිස්ත්‍රික් වඉඩ්ය නිලඩරි,update - පස්සර බුෂ් රථ අනතුරින් මිය ගිය සන්ක්යව 14 දක්වා ඉහලට . තුවල ලෙබු සන්ක්යව 46 - දිස්ත්‍රික් වඉඩ්ය නිලඩරි,Update : පස්සර බස් රථ අනතුරෙන් මිය ගිය සංඛ්‍යාව 14 ක් දක්වා ඉහලට .තුවාල ලැබූවන්ගේ සංඛ්‍යාව 46 ක් -දිස්ත්‍රික් වෛද්‍ය නිළධාරි
"update - passara, bus anathuren miyagiya sankyawa 13na dakwa ihalata; thuwala lebu ganana 31k: police spokesman","update - පස්සර , බුස් අනතුරෙන් මියගිය සන්ක්යව 13න දක්වා ඉහලට ; තුවල ලෙබු ගනන 31ක් : police spokesman","update - පස්සර , බුෂ් අනතුරෙන් මියගිය සන්ක්යව 13න දක්වා ඉහලට ; තුවල ලෙබු ගණන 31ක් : police spokesman","Update : පස්සර, බස් අනතුරෙන් මිය ගිය සංගිය සංඛ්‍යාව 13 ක් දක්වා ඉහලට. තුවාල ලැබූ ගණන 32 ක්- Police Spokesman "
athurudan-wu ratmalane paasal sisuwa seveemata vishesha police kandayam 04-k: police spokesman,අතුරුඩන් - වු රට්මලනෙ පාසල් සිසුව සෙවීමට විශේෂ police කඳයම් 04 - ක් : police spokesman,අතුරුදන් - වු රට්මලනෙ පාසල් සිසුව සෙවීමට විශේෂ police කඳයම් 04 - ක් : police spokesman,අතුරුදන්-වූ රත්මලානේ පාසල් සිසුවා සෙවීමට විශේෂ police කණ්ඩායම් 4 ක්- Police Spokesman
v. radhakrishnan-ge nayakathwayen yuth kandurata janatha peramuna niyojanaya karana mp a. aravindh kumar-ge paksha samajikathwaya ahosi kere,v . රඩ්හක්‍රිශ්නන් - ගෙ නයකත්වයෙන් යුත් කඳුරට ජනත පෙරමුන නියොජනය කරන ම්ප් a . අරවිඳ්හ් කුමර් - ගෙ පක්ශ සමජිකත්වය අහොසි කෙරෙ,v . රඩ්හක්‍රිශ්නන් - ගේ නායකත්වයෙන් යුත් කඳවුරට ජනත පෙරමුණ නියොජනය කරන ම්ප් a . අරවිඳ්හ් කුමර් - ගේ පක්ෂ සාමාජිකත්වය අහෝසි කෙරේ,V රාධක්‍රිෂ්ණන්-ගේ නායකත්වයෙන් යුත් කඳුරට ජනතා පෙරමුණ නියෝජනය කරන Mp A.අරවින්ද කුමාර් ගේ පක්ෂ සාමාජිකත්වය අහෝසි කෙරේ 
passara 13 kanuwa pradeshaye dee bus rathayak peralee yamen siduwu anathurakin pudagalayin 7 deneku miya yai. thawath 20 kata thuwala,පස්සර 13 කනුව ප්‍රඩෙශයෙ දී බුස් රතයක් පෙරලී යමෙන් සිඩුවු අනතුරකින් පුඩගලයින් 7 ඩෙනෙකු මිය යඉ . තවත් 20 කට තුවල,පස්සර 13 කනුව ප්‍රදේශයේ දී බුෂ් රථයක් පෙරළී යමෙන් සිදුවූ අනතුරකින් පුද්ගලයින් 7 දෙනෙකු මිය යයි . තවත් 20 කට තුවල,පස්සර 13 කනුව ප්‍රදේශයේ කණුව ප්‍රදේශයේදී බස් රථයක් පෙරළී යාමෙන් සිදු වූ අනතුරකින් පුද්ගලයින් 7 දෙනකු මිය යයි තවත් 20කට තුවාල
"update - passara, 13-kanuwa pradeshaye-di, bus rathayak prapathayakata perali sidu-wu anathuren 07-denek miya-yai; 20-kata thuwala: police spokesman","update - පස්සර , 13 - කනුව ප්‍රඩෙශයෙ - ඩි , බුස් රතයක් ප්‍රපතයකට පෙරලි සිදු - වු අනතුරෙන් 07 - ඩෙනෙක් මිය - යඉ ; 20 - කට තුවල : police spokesman","update - පස්සර , 13 - කනුව ප්‍රදේශයේ - ඩි , බුෂ් රථයක් ප්‍රපතයකට පෙරළී සිදු - වු අනතුරෙන් 07 - දෙනෙක් මිය - යයි ; 20 - කට තුවල : police spokesman",Update : පස්සට 13 කනුව ප්‍රදේශයේ කණුව ප්‍රදේශයේදී බස් රථයක් ප්‍රපාතයකට  පෙරළී සිදු වූ අනතුරෙන් හත් දෙනෙක් මියයයි විස්සකට තුවාල - Police Spokesman 
update :lunugala sita colomba bala dhawanaya u bus rathyak passara 13 kanuwa pradeshayedi prapathyakata peralimen 07k maruta. thawath 20k thuwala. - police,update : ලුනුගල සිට කොලොඹ බොල ඩ්හවනය උ බුස් රත්යක් පස්සර 13 කනුව ප්‍රඩෙශයෙඩි ප්‍රපත්යකට පෙරලිමෙන් 07ක් මරුට . තවත් 20ක් තුවල . - police,update : ලුනුගල සිට කොලොඹ බොල ඩ්හවනය උ බුෂ් රත්යක් පස්සර 13 කනුව ප්‍රදේශයේදී ප්‍රපත්යකට පෙරළිමෙන් 07ක් මරුට . තවත් 20ක් තුවල . - police,Update : ලුනුගල සිට කොළඹ බලා ධාවනය වූ බස් රථයක් පස්සට 13 කනුව ප්‍රදේශයේ දී ප්‍රපාතයකට පෙරළීමෙන් හතක් මරුට තවත් විස්සකට තුවාල - Police
"badulla - passara, 13-kanuwa pradeshaye-di, bus rathayak adi 200ka pamana prapathayakata peralimen 10-kata adika pirisakata thuwala.: police","බඩුල්ල - පස්සර , 13 - කනුව ප්‍රඩෙශයෙ - ඩි , බුස් රතයක් අඩි 200ක පමණ ප්‍රපතයකට පෙරලිමෙන් 10 - කට අඩික පිරිසකට තුවල .: police","බදුල්ල - පස්සර , 13 - කනුව ප්‍රදේශයේ - ඩි , බුෂ් රථයක් අඩි 200ක පමණ ප්‍රපතයකට පෙරළිමෙන් 10 - කට අධික පිරිසකට තුවල . : police","බදුල්ල-පස්සර, 13 කනුව කණුව ප්‍රදේශයේදී බස් රථයක් අඩි 200 ක පමණ ප්‍රපාතයකට පෙරළීමෙන් දහයකට අධික පිරිසකට තුවාල - Police "
westminster mahesthrath adhikaranaye theenduwa brithanya mahahikaranaya nishpraba karai,වෙස්ට්මින්ස්ටෙර් මහෙස්ත්‍රත් අඩ්හිකරනයෙ තීඳුව බ්‍රිතන්ය මහහිකරනය නිශ්ප්‍රබ කරඉ,වෙස්ට්මිනිස්ටර් මහෙස්ත්‍රත් අඩ්හිකරනයෙ තීඳුව බ්‍රිතන්ය මහහිකරනය නිෂ්ප්‍රභ කරයි,westminster මහේස්ත්‍රාත් අධිකරණයේ තීන්දුව බ්‍රිතාන්‍ය මහාධිකරණය නිශ්ප්‍රභා කරයි 
london sri lanka maha komasaris karyalaye hitapu arakshaka upadeshaka major general priyanka fernandota erehi,ලොඳොන් sri ලන්ක මහ කොමසරිස් කර්යලයෙ හිටපු ආරක්ෂකක උපඩෙශක මජොර් general ප්‍රියන්ක fඑර්නඳොට එරෙහි ,ලොඳොන් sri ලන්ක මහ කොමසාරිස් කර්යලයෙ හිටපු ආරක්ෂක උපදේශක මජොර් general ප්‍රියංක fඑර්නඳොට එරෙහි ,ලන්ඩන් ශ්‍රී ලංකා මහකොමසාරිස්  හිටපු ආරක්ෂක උපදේශක මේජර් ජෙනරල major general ප්‍රියංක ප්‍රනාන්දු ට එරෙහි 
" westminster mahesthrath adikaranaye theenduwa, brithanya mahadikaranaya wisin awalangu karai- hirunews.lk","වෙස්ට්මින්ස්ටෙර් මහෙස්ත්‍රත් අඩිකරනයෙ තීඳුව , බ්‍රිතන්ය මහඩිකරනය විසින් අවලඟු කරඉ - හිරුනෙව්ස් . ල්ක්","වෙස්ට්මිනිස්ටර් මහෙස්ත්‍රත් අධිකරණයේ තීඳුව , බ්‍රිතන්ය මහඩිකරනය විසින් අවලඟු කරයි - හිරුනෙව්ස් . ල්ක්", වෙස්ට්මිනිස්ටර්  මහේස්ත්‍රාත් අධිකරණයේ තීන්දුව බ්‍රිතාන්‍ය  මහධිකරණය විසින් අවලංගු කරයි -hiru news.lk
"facebook, messenger, whatsapp saha instagram samaja-maadya wala hadisi bindaweteemak: foreign media","fඅකෙබූක් , මෙස්සෙඟෙර් , ව්හට්සප්ප් සහ ඉන්ස්ටග්‍රම් සමජ - මාඩ්ය වල හඩිසි බිඳවෙටීමක් : foreign media","fඅකෙබූක් , මෙස්සෙඟෙර් , ව්හට්සප්ප් සහ ඉන්ස්ටග්‍රම් සමඟ - මාඩ්ය වල හදිසි බිඳවැටීමකට : foreign media","facebook ,messenger whatsapp  සහ instagram සමාජ මාධ්‍ය වල හදිසි බිඳවැටීමක්- foreign media"
"dakunu aprika - 125 (nuwan kulasekara 25/5) ha sl - 129/2(17.2) sl, indiyawa samaga awasan maha tharagayata","ඩකුනු අප්‍රික - 125 ( නුවන් කුලසෙකර 25 / 5 ) හා ස්ල් - 129 / 2 ( 17 . 2 ) ස්ල් , ඉඳියව සමග අවසන් මහ තරගයට","දකුණු අප්‍රික - 125 ( නුවන් කුලසෙකර 25 / 5 ) හා ස්ල් - 129 / 2 ( 17 . 2 ) ස්ල් , ඉඳියව සමග අවසන් මහ තරගයට",දකුණු අප්‍රිකා -125(නුවන් කුලසේකර 25/5) හා SL-129/2(17.2) ශ්‍රී ලංකාව ඉන්දියාව සමඟ පැවති අවසාන මහා  තරගයට
"jathika aushada niyamana adikariya(nmra) wisin ""chinese sinopharm"" ennatha sri lankawa thula hadisi bhavithaya sadaha anumethiya labadei","ජතික ඖශඩ නියමන අඩිකරිය ( න්ම්‍ර ) විසින් "" චිනෙසෙ සිනොප්හර්ම් "" එන්නත sri ලන්කව තුළ හඩිසි බ්හවිතය සඳහා අනුමෙතිය ලබඩෙඉ",ජතික ඖෂධ නියාමන අධිකාරිය ( න්ම්‍ර ) විසින් `` චිනෙසෙ සිනොප්හර්ම් `` එන්නත sri ලන්කව තුළ හදිසි බ්හවිතය සඳහා අනුමැතිය ලබඩෙඉ,"ජාතික ඖෂධ නියාමන අධිකාරිය (NMRA) විසින් ""Chinese Sinopharm"" එන්නත ශ්‍රී ලංකාව තුළ හදිසි භාවිතය සඳහා අනුමැතිය ලැබේ"
covid-19 asaditha marana 06 k wartha weemath samaga merata samastha marana 544 dakwa ihalata - saukya amathyanshaya,covid - 19 අසඩිත මරන 06 ක් වාර්තා වීමත් සමග මෙරට සමස්ත මරන 544 දක්වා ඉහලට - සෞඛ්‍ය අමාත්‍යාංශය,covid - 19 අසිත මරණ 06 ක් වාර්තා වීමත් සමග මෙරට සමස්ත මරණ 544 දක්වා ඉහලට - සෞඛ්‍ය අමාත්‍යාංශය,Covid-19 ආසාධිත මරණ 06ක් වාර්තාවීමත් සමඟ මෙරට සමස්ත මරණ 544 ක්  දක්වා ඉහලට -සෞඛ්‍ය අමාත්‍යාංශය
thawath covid-19 marana 06k wartha-wei; merata samastha marana 544 dakwa ihalata.: information department,තවත් covid - 19 මරන 06ක් වාර්තා - වෙඉ ; මෙරට සමස්ත මරන 544 දක්වා ඉහලට .: information department,තවත් covid - 19 මරණ 06ක් වාර්තා - වෙයි ; මෙරට සමස්ත මරණ 544 දක්වා ඉහලට . : information department,තවත් Covid 19 මරණ 6 ක් වාර්තා වේ. මෙරට සමස්ත මරණ 544 දක්වා ඉහළට - information department
kuliyapitiya pradeshaye budu pilimayakata haani kirime siddiyakata sekapita athadanguwata gath india jathikayeku 03/29 thek remand-police,කුලියපිටිය ප්‍රඩෙශයෙ බුඩු පිලිමයකට හානි කිරිමෙ සිඩ්ඩියකට සෙකපිට අතඩඟුවට ගත් ඉඳිඅ ජතිකයෙකු 03 / 29 තෙක් remand - police,කුලියපිටිය ප්‍රදේශයේ බුදු පිලිමයකට හානි කිරීමේ සිද්ධියකට සැකපිට අතඩඟුවට ගත් ඉඳිඅ ජාතිකයෙකු 03 / 29 තෙක් remand - police,කුලියාපිටිය ප්‍රදේශය බුදු පිළිමයකට හානි කිරීමේ සිද්ධියකට සැක පිට අත්අඩංගුවට ගත් ඉන්දියානු ජාතිකයෙකු 03/29 තෙක් රිමාන්ඩ් - police 
sa legends vs sl legends - sl legends kandayama road safety 20/20 tharangawaliye awasan maha tharangayata sudusukam labai,ස ලෙගෙඳ්ස් ව්ස් ස්ල් ලෙගෙඳ්ස් - ස්ල් ලෙගෙඳ්ස් කඳයම road safety 20 / 20 තරඟවලියෙ අවසන් මහ තරඟයට සුඩුසුකම් ලබඉ,ස ලෙගෙඳ්ස් ව්ස් ස්ල් ලෙගෙඳ්ස් - ස්ල් ලෙගෙඳ්ස් කඳයම road safety 20 / 20 තරඟාවලිය අවසන් මහ තරඟයට සුදුසුකම් ලබයි,SA Legends vs SL Legends - SL legends කණ්ඩායම road safety 20/20 තරගාවලියේ අවසාන මහා තරගයට සුදුසුකම් ලබයි 
